Type,Value,Type,Value,Type,Value
Data Source,Cold_Science_11LTAN_Finalv_1_TiNOX : TMD : ACUBESAT_FEB_NEWNEWPAYLO,Data Source,Cold_Science_11LTAN_Finalv_1_TiNOX : TMD : ACUBESAT_FEB_NEWNEWPAYLO,Data Source,Cold_Science_11LTAN_Finalv_1_TiNOX : TMD : ACUBESAT_FEB_NEWNEWPAYLO
Element,18822,Element,23916,Element,680008
,,,,,
,,,,,
Time[s],Temperature,Time[s],Temperature,Time[s],Temperature
0.0,-12.487318183607014,0.0,-12.514713482265696,0.0,-15.482586786696574
10.0,-12.487600691589376,10.0,-12.513439724325671,10.0,-15.561513392481181
20.0,-12.487898956197464,20.0,-12.508082671712872,20.0,-15.636310363185986
30.0,-12.488207243614657,30.0,-12.496102678375893,30.0,-15.698108118271765
40.0,-12.488529673863004,40.0,-12.476138062370609,40.0,-15.759807644283786
50.0,-12.488866516664752,50.0,-12.447545665978081,50.0,-15.821482655528671
60.0,-12.48921783433629,60.0,-12.410116455946437,60.0,-15.882996156549698
70.0,-12.489583667471331,70.0,-12.363930978123118,70.0,-15.94430941785004
80.0,-12.489964053684645,80.0,-12.309258470048853,80.0,-16.005415308909164
90.0,-12.490359023300554,90.0,-12.246486025380472,90.0,-16.066317327675655
100.0,-12.490768598919578,100.0,-12.176069203478121,100.0,-16.12702237499142
110.0,-12.491192811591793,110.0,-12.098497914276992,110.0,-16.18753831581365
120.0,-12.49163169643389,120.0,-12.014273151124524,120.0,-16.24787322119195
130.0,-12.492085279178434,130.0,-11.923891410716095,130.0,-16.30803491242771
140.0,-12.492553575752728,140.0,-11.82783454199478,140.0,-16.368030714625657
150.0,-12.493036592350554,150.0,-11.726563404947878,150.0,-16.427867464908786
160.0,-12.493534322381986,160.0,-11.620514185434343,160.0,-16.487551873098777
170.0,-12.494046847337689,170.0,-11.510095703466005,170.0,-16.547283136824113
180.0,-12.494583212981592,180.0,-11.395567971899181,180.0,-16.623883721186655
190.0,-12.49513564021518,190.0,-11.277318753074905,190.0,-16.695731258903578
200.0,-12.49570364942364,200.0,-11.155636021901426,200.0,-16.764475798760298
210.0,-12.496284203522757,210.0,-11.030869608134182,210.0,-16.825118175324175
220.0,-12.49687784902601,220.0,-10.903310006437152,220.0,-16.882355088339693
230.0,-12.497486440923147,230.0,-10.773235110740655,230.0,-16.939866487145455
240.0,-12.498110105454842,240.0,-10.640917374047632,240.0,-16.997433084074483
250.0,-12.498748917074133,250.0,-10.506598749637241,250.0,-17.054979589451282
260.0,-12.499402911804983,260.0,-10.370495376700351,260.0,-17.112477111991147
270.0,-12.500072101297897,270.0,-10.232801269001005,270.0,-17.16991238648705
280.0,-12.50075649098314,280.0,-10.093691263133126,280.0,-17.227277666735144
290.0,-12.501456085442415,290.0,-9.953323406993215,290.0,-17.284567277198448
300.0,-12.502170891567655,300.0,-9.811840925513568,300.0,-17.341776551998734
310.0,-12.50290092357024,310.0,-9.669373862646298,310.0,-17.39890215020831
320.0,-12.503646204681477,320.0,-9.526040470940234,320.0,-17.455941914689948
330.0,-12.504406761676975,330.0,-9.381948401307577,330.0,-17.51289433458986
340.0,-12.505182619131592,340.0,-9.237195734871,340.0,-17.569758224526062
350.0,-12.505976785144538,350.0,-9.091827300631364,350.0,-17.632452708557867
360.0,-12.506793123259603,360.0,-8.945872014544964,360.0,-17.704830345119472
370.0,-12.507626429503391,370.0,-8.799411564032825,370.0,-17.77318709538488
380.0,-12.508476097011998,380.0,-8.652486585078623,380.0,-17.838672348269707
390.0,-12.509339173828021,390.0,-8.505207727645537,390.0,-17.896604150063435
400.0,-12.510215987133847,400.0,-8.35763798313981,400.0,-17.951205916227554
410.0,-12.51110829440964,410.0,-8.209840902845418,410.0,-18.006098645863833
420.0,-12.512016193779992,420.0,-8.061893705938022,420.0,-18.061066466297934
430.0,-12.512939768150227,430.0,-7.913859581439446,430.0,-18.116032963186846
440.0,-12.51387909401139,440.0,-7.765790941827621,440.0,-18.170967202584606
450.0,-12.514834244531814,450.0,-7.617731815783509,450.0,-18.225854568913956
460.0,-12.515805286204266,460.0,-7.469719619030365,460.0,-18.280687091752284
470.0,-12.516792269434964,470.0,-7.3217864740858944,470.0,-18.335459928603846
480.0,-12.517795230084008,480.0,-7.173960205304866,480.0,-18.390169769261536
490.0,-12.518814205930724,490.0,-7.026265098140978,490.0,-18.44481408397939
500.0,-12.519849237549806,500.0,-6.878722480118633,500.0,-18.49939075978136
510.0,-12.520900360760603,510.0,-6.731351171922388,510.0,-18.553897839499978
520.0,-12.521967612065561,520.0,-6.584167846007424,520.0,-18.60833342996987
530.0,-12.523051113857631,530.0,-6.437186474226641,530.0,-18.66287107873806
540.0,-12.524159141889994,540.0,-6.290305021780373,540.0,-18.732880999343614
550.0,-12.525284651265357,550.0,-6.143586355586145,550.0,-18.798654793333796
560.0,-12.526427118656136,560.0,-5.997008629122217,560.0,-18.861589021840384
570.0,-12.527583796185946,570.0,-5.850623005893676,570.0,-18.91725204684221
580.0,-12.528755027944959,580.0,-5.70443937639893,580.0,-18.969718098170304
590.0,-12.5299424933204,590.0,-5.558472934880025,590.0,-19.02247018781195
600.0,-12.531146259802822,600.0,-5.4127567680816675,600.0,-19.07530281497681
610.0,-12.53236635472277,610.0,-5.2673145853748125,610.0,-19.12814423171395
620.0,-12.533602792223457,620.0,-5.1221633209823185,620.0,-19.180966616905312
630.0,-12.534855594398616,630.0,-4.9773150050145505,630.0,-19.23375848828521
640.0,-12.53612478059372,640.0,-4.832778105548664,640.0,-19.28651535083305
